id,title,author,genre
322,Siddhartha,Hermann Hesse,Philosophical Fiction
323,The Sound and the Fury,William Faulkner,Fiction
324,Oliver Twist,Charles Dickens,Novel
325,The Iliad,Homer,Epic Poetry
326,Gone with the Wind,Margaret Mitchell,Historical Fiction
327,For Whom the Bell Tolls,Ernest Hemingway,Fiction
328,Peter Pan,J.M. Barrie,Fantasy
329,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
330,The Canterbury Tales,Geoffrey Chaucer,Poetry
331,The Time Machine,H.G. Wells,Science Fiction
332,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
333,The Adventures of Tom Sawyer,Mark Twain,Adventure
334,Dracula,Bram Stoker,Horror
335,The Bell Jar,Sylvia Plath,Fiction
336,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
337,The Odyssey,Homer,Epic Poetry
338,To Kill a Mockingbird,Harper Lee,Fiction
339,The Lord of the Rings,J.R.R. Tolkien,Fantasy
340,The Trial,Franz Kafka,Fiction
341,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
342,The Da Vinci Code,Dan Brown,Thriller
343,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
344,The Shining,Stephen King,Horror
345,Brave New World,Aldous Huxley,Science Fiction
346,The Picture of Dorian Gray,Oscar Wilde,Fiction
347,Fahrenheit 451,Ray Bradbury,Science Fiction
348,1984,George Orwell,Dystopian Fiction
349,Wuthering Heights,Emily Bronte,Romance
350,The Sun Also Rises,Ernest Hemingway,Fiction
351,The Old Man and the Sea,Ernest Hemingway,Fiction
352,The Metamorphosis,Franz Kafka,Fiction
353,A Tale of Two Cities,Charles Dickens,Historical Fiction
354,Peter Pan,J.M. Barrie,Fantasy
355,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
356,Sense and Sensibility,Jane Austen,Romance
357,The Adventures of Huckleberry Finn,Mark Twain,Adventure
358,Les Misérables,Victor Hugo,Historical Fiction
359,Heart of Darkness,Joseph Conrad,Novella
360,Gulliver's Travels,Jonathan Swift,Satire
361,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
362,The Count of Monte Cristo,Alexandre Dumas,Adventure
363,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
364,The War of the Worlds,H.G. Wells,Science Fiction
365,Of Mice and Men,John Steinbeck,Fiction
366,Winnie-the-Pooh,A.A. Milne,Children's Literature
367,The Jungle Book,Rudyard Kipling,Children's Literature
368,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
369,The Adventures of Tom Sawyer,Mark Twain,Adventure
370,Beloved,Toni Morrison,Fiction
371,Great Expectations,Charles Dickens,Historical Fiction
372,The Picture of Dorian Gray,Oscar Wilde,Fiction
373,The Call of the Wild,Jack London,Adventure
374,The Wind in the Willows,Kenneth Grahame,Children's Literature
375,Wuthering Heights,Emily Bronte,Romance
376,Robinson Crusoe,Daniel Defoe,Adventure
377,The Giver,Lois Lowry,Young Adult
378,Crime and Punishment,Fyodor Dostoevsky,Fiction
379,The Scarlet Letter,Nathaniel Hawthorne,Fiction
380,Jane Eyre,Charlotte Bronte,Romance
381,The War of the Worlds,H.G. Wells,Science Fiction
382,The Three Musketeers,Alexandre Dumas,Adventure
383,The Legend of Sleepy Hollow,Washington Irving,Fiction
384,Siddhartha,Hermann Hesse,Philosophical Fiction
385,The Sound and the Fury,William Faulkner,Fiction
386,Oliver Twist,Charles Dickens,Novel
387,The Iliad,Homer,Epic Poetry
388,Gone with the Wind,Margaret Mitchell,Historical Fiction
389,For Whom the Bell Tolls,Ernest Hemingway,Fiction
390,Peter Pan,J.M. Barrie,Fantasy
391,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
392,The Canterbury Tales,Geoffrey Chaucer,Poetry
393,The Time Machine,H.G. Wells,Science Fiction
394,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
395,The Adventures of Tom Sawyer,Mark Twain,Adventure
396,Dracula,Bram Stoker,Horror
397,The Bell Jar,Sylvia Plath,Fiction
398,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
399,The Odyssey,Homer,Epic Poetry
400,To Kill a Mockingbird,Harper Lee,Fiction
401,The Lord of the Rings,J.R.R. Tolkien,Fantasy
402,The Trial,Franz Kafka,Fiction
403,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
404,The Da Vinci Code,Dan Brown,Thriller
405,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
406,The Shining,Stephen King,Horror
407,Brave New World,Aldous Huxley,Science Fiction
408,The Picture of Dorian Gray,Oscar Wilde,Fiction
409,Fahrenheit 451,Ray Bradbury,Science Fiction
410,1984,George Orwell,Dystopian Fiction
411,Wuthering Heights,Emily Bronte,Romance
412,The Sun Also Rises,Ernest Hemingway,Fiction
413,The Old Man and the Sea,Ernest Hemingway,Fiction
414,The Metamorphosis,Franz Kafka,Fiction
415,A Tale of Two Cities,Charles Dickens,Historical Fiction
416,Peter Pan,J.M. Barrie,Fantasy
417,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
418,Sense and Sensibility,Jane Austen,Romance
419,The Adventures of Huckleberry Finn,Mark Twain,Adventure
420,Les Misérables,Victor Hugo,Historical Fiction
421,Heart of Darkness,Joseph Conrad,Novella
422,Gulliver's Travels,Jonathan Swift,Satire
423,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
424,The Count of Monte Cristo,Alexandre Dumas,Adventure
425,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
426,The War of the Worlds,H.G. Wells,Science Fiction
427,Of Mice and Men,John Steinbeck,Fiction
428,Winnie-the-Pooh,A.A. Milne,Children's Literature
429,The Jungle Book,Rudyard Kipling,Children's Literature
430,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
431,The Adventures of Tom Sawyer,Mark Twain,Adventure
432,Beloved,Toni Morrison,Fiction
433,Great Expectations,Charles Dickens,Historical Fiction
434,The Picture of Dorian Gray,Oscar Wilde,Fiction
435,The Call of the Wild,Jack London,Adventure
436,The Wind in the Willows,Kenneth Grahame,Children's Literature
437,Wuthering Heights,Emily Bronte,Romance
438,Robinson Crusoe,Daniel Defoe,Adventure
439,The Giver,Lois Lowry,Young Adult
440,Crime and Punishment,Fyodor Dostoevsky,Fiction
441,The Scarlet Letter,Nathaniel Hawthorne,Fiction
442,Jane Eyre,Charlotte Bronte,Romance
443,The War of the Worlds,H.G. Wells,Science Fiction
444,The Three Musketeers,Alexandre Dumas,Adventure
445,The Legend of Sleepy Hollow,Washington Irving,Fiction
446,Siddhartha,Hermann Hesse,Philosophical Fiction
447,The Sound and the Fury,William Faulkner,Fiction
448,Oliver Twist,Charles Dickens,Novel
449,The Iliad,Homer,Epic Poetry
450,Gone with the Wind,Margaret Mitchell,Historical Fiction
451,For Whom the Bell Tolls,Ernest Hemingway,Fiction
452,Peter Pan,J.M. Barrie,Fantasy
453,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
454,The Canterbury Tales,Geoffrey Chaucer,Poetry
455,The Time Machine,H.G. Wells,Science Fiction
456,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
457,The Adventures of Tom Sawyer,Mark Twain,Adventure
458,Dracula,Bram Stoker,Horror
459,The Bell Jar,Sylvia Plath,Fiction
460,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
461,The Odyssey,Homer,Epic Poetry
462,To Kill a Mockingbird,Harper Lee,Fiction
463,The Lord of the Rings,J.R.R. Tolkien,Fantasy
464,The Trial,Franz Kafka,Fiction
465,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
466,The Da Vinci Code,Dan Brown,Thriller
467,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
468,The Shining,Stephen King,Horror
469,Brave New World,Aldous Huxley,Science Fiction
470,The Picture of Dorian Gray,Oscar Wilde,Fiction
471,Fahrenheit 451,Ray Bradbury,Science Fiction
472,1984,George Orwell,Dystopian Fiction
473,Wuthering Heights,Emily Bronte,Romance
474,The Sun Also Rises,Ernest Hemingway,Fiction
475,The Old Man and the Sea,Ernest Hemingway,Fiction
476,The Metamorphosis,Franz Kafka,Fiction
477,A Tale of Two Cities,Charles Dickens,Historical Fiction
478,Peter Pan,J.M. Barrie,Fantasy
479,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
480,Sense and Sensibility,Jane Austen,Romance
481,The Adventures of Huckleberry Finn,Mark Twain,Adventure
482,Les Misérables,Victor Hugo,Historical Fiction
483,Heart of Darkness,Joseph Conrad,Novella
484,Gulliver's Travels,Jonathan Swift,Satire
485,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
486,The Count of Monte Cristo,Alexandre Dumas,Adventure
487,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
488,The War of the Worlds,H.G. Wells,Science Fiction
489,Of Mice and Men,John Steinbeck,Fiction
490,Winnie-the-Pooh,A.A. Milne,Children's Literature
491,The Jungle Book,Rudyard Kipling,Children's Literature
492,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
493,The Adventures of Tom Sawyer,Mark Twain,Adventure
494,Beloved,Toni Morrison,Fiction
495,Great Expectations,Charles Dickens,Historical Fiction
496,The Picture of Dorian Gray,Oscar Wilde,Fiction
497,The Call of the Wild,Jack London,Adventure
498,The Wind in the Willows,Kenneth Grahame,Children's Literature
499,Wuthering Heights,Emily Bronte,Romance
500,Robinson Crusoe,Daniel Defoe,Adventure
501,The Giver,Lois Lowry,Young Adult
502,Crime and Punishment,Fyodor Dostoevsky,Fiction
503,The Scarlet Letter,Nathaniel Hawthorne,Fiction
504,Jane Eyre,Charlotte Bronte,Romance
505,The War of the Worlds,H.G. Wells,Science Fiction
506,The Three Musketeers,Alexandre Dumas,Adventure
507,The Legend of Sleepy Hollow,Washington Irving,Fiction
508,Siddhartha,Hermann Hesse,Philosophical Fiction
509,The Sound and the Fury,William Faulkner,Fiction
510,Oliver Twist,Charles Dickens,Novel
511,The Iliad,Homer,Epic Poetry
512,Gone with the Wind,Margaret Mitchell,Historical Fiction
513,For Whom the Bell Tolls,Ernest Hemingway,Fiction
514,Peter Pan,J.M. Barrie,Fantasy
515,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
516,The Canterbury Tales,Geoffrey Chaucer,Poetry
517,The Time Machine,H.G. Wells,Science Fiction
518,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
519,The Adventures of Tom Sawyer,Mark Twain,Adventure
520,Dracula,Bram Stoker,Horror
521,The Bell Jar,Sylvia Plath,Fiction
522,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
523,The Odyssey,Homer,Epic Poetry
524,To Kill a Mockingbird,Harper Lee,Fiction
525,The Lord of the Rings,J.R.R. Tolkien,Fantasy
526,The Trial,Franz Kafka,Fiction
527,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
528,The Da Vinci Code,Dan Brown,Thriller
529,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
530,The Shining,Stephen King,Horror
531,Brave New World,Aldous Huxley,Science Fiction
532,The Picture of Dorian Gray,Oscar Wilde,Fiction
533,Fahrenheit 451,Ray Bradbury,Science Fiction
534,1984,George Orwell,Dystopian Fiction
535,Wuthering Heights,Emily Bronte,Romance
536,The Sun Also Rises,Ernest Hemingway,Fiction
537,The Old Man and the Sea,Ernest Hemingway,Fiction
538,The Metamorphosis,Franz Kafka,Fiction
539,A Tale of Two Cities,Charles Dickens,Historical Fiction
540,Peter Pan,J.M. Barrie,Fantasy
541,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
542,Sense and Sensibility,Jane Austen,Romance
543,The Adventures of Huckleberry Finn,Mark Twain,Adventure
544,Les Misérables,Victor Hugo,Historical Fiction
545,Heart of Darkness,Joseph Conrad,Novella
546,Gulliver's Travels,Jonathan Swift,Satire
547,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
548,The Count of Monte Cristo,Alexandre Dumas,Adventure
549,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
550,The War of the Worlds,H.G. Wells,Science Fiction
551,Of Mice and Men,John Steinbeck,Fiction
552,Winnie-the-Pooh,A.A. Milne,Children's Literature
553,The Jungle Book,Rudyard Kipling,Children's Literature
554,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
555,The Adventures of Tom Sawyer,Mark Twain,Adventure
556,Beloved,Toni Morrison,Fiction
557,Great Expectations,Charles Dickens,Historical Fiction
558,The Picture of Dorian Gray,Oscar Wilde,Fiction
559,The Call of the Wild,Jack London,Adventure
560,The Wind in the Willows,Kenneth Grahame,Children's Literature
561,Wuthering Heights,Emily Bronte,Romance
562,Robinson Crusoe,Daniel Defoe,Adventure
563,The Giver,Lois Lowry,Young Adult
564,Crime and Punishment,Fyodor Dostoevsky,Fiction
565,The Scarlet Letter,Nathaniel Hawthorne,Fiction
566,Jane Eyre,Charlotte Bronte,Romance
567,The War of the Worlds,H.G. Wells,Science Fiction
568,The Three Musketeers,Alexandre Dumas,Adventure
569,The Legend of Sleepy Hollow,Washington Irving,Fiction
570,Siddhartha,Hermann Hesse,Philosophical Fiction
571,The Sound and the Fury,William Faulkner,Fiction
572,Oliver Twist,Charles Dickens,Novel
573,The Iliad,Homer,Epic Poetry
574,Gone with the Wind,Margaret Mitchell,Historical Fiction
575,For Whom the Bell Tolls,Ernest Hemingway,Fiction
576,Peter Pan,J.M. Barrie,Fantasy
577,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
578,The Canterbury Tales,Geoffrey Chaucer,Poetry
579,The Time Machine,H.G. Wells,Science Fiction
580,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
581,The Adventures of Tom Sawyer,Mark Twain,Adventure
582,Dracula,Bram Stoker,Horror
583,The Bell Jar,Sylvia Plath,Fiction
584,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
585,The Odyssey,Homer,Epic Poetry
586,To Kill a Mockingbird,Harper Lee,Fiction
587,The Lord of the Rings,J.R.R. Tolkien,Fantasy
588,The Trial,Franz Kafka,Fiction
589,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
590,The Da Vinci Code,Dan Brown,Thriller
591,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
592,The Shining,Stephen King,Horror
593,Brave New World,Aldous Huxley,Science Fiction
594,The Picture of Dorian Gray,Oscar Wilde,Fiction
595,Fahrenheit 451,Ray Bradbury,Science Fiction
596,1984,George Orwell,Dystopian Fiction
597,Wuthering Heights,Emily Bronte,Romance
598,The Sun Also Rises,Ernest Hemingway,Fiction
599,The Old Man and the Sea,Ernest Hemingway,Fiction
600,The Metamorphosis,Franz Kafka,Fiction
601,A Tale of Two Cities,Charles Dickens,Historical Fiction
602,Peter Pan,J.M. Barrie,Fantasy
603,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
604,Sense and Sensibility,Jane Austen,Romance
605,The Adventures of Huckleberry Finn,Mark Twain,Adventure
606,Les Misérables,Victor Hugo,Historical Fiction
607,Heart of Darkness,Joseph Conrad,Novella
608,Gulliver's Travels,Jonathan Swift,Satire
609,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
610,The Count of Monte Cristo,Alexandre Dumas,Adventure
611,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
612,The War of the Worlds,H.G. Wells,Science Fiction
613,Of Mice and Men,John Steinbeck,Fiction
614,Winnie-the-Pooh,A.A. Milne,Children's Literature
615,The Jungle Book,Rudyard Kipling,Children's Literature
616,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
617,The Adventures of Tom Sawyer,Mark Twain,Adventure
618,Beloved,Toni Morrison,Fiction
619,Great Expectations,Charles Dickens,Historical Fiction
620,The Picture of Dorian Gray,Oscar Wilde,Fiction
621,The Call of the Wild,Jack London,Adventure
622,The Wind in the Willows,Kenneth Grahame,Children's Literature
623,Wuthering Heights,Emily Bronte,Romance
624,Robinson Crusoe,Daniel Defoe,Adventure
625,The Giver,Lois Lowry,Young Adult
626,Crime and Punishment,Fyodor Dostoevsky,Fiction
627,The Scarlet Letter,Nathaniel Hawthorne,Fiction
628,Jane Eyre,Charlotte Bronte,Romance
629,The War of the Worlds,H.G. Wells,Science Fiction
630,The Three Musketeers,Alexandre Dumas,Adventure
631,The Legend of Sleepy Hollow,Washington Irving,Fiction
632,Siddhartha,Hermann Hesse,Philosophical Fiction
633,The Sound and the Fury,William Faulkner,Fiction
634,Oliver Twist,Charles Dickens,Novel
635,The Iliad,Homer,Epic Poetry
636,Gone with the Wind,Margaret Mitchell,Historical Fiction
637,For Whom the Bell Tolls,Ernest Hemingway,Fiction
638,Peter Pan,J.M. Barrie,Fantasy
639,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
640,The Canterbury Tales,Geoffrey Chaucer,Poetry
641,The Time Machine,H.G. Wells,Science Fiction
642,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
643,The Adventures of Tom Sawyer,Mark Twain,Adventure
644,Dracula,Bram Stoker,Horror
645,The Bell Jar,Sylvia Plath,Fiction
646,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
647,The Odyssey,Homer,Epic Poetry
648,To Kill a Mockingbird,Harper Lee,Fiction
649,The Lord of the Rings,J.R.R. Tolkien,Fantasy
650,The Trial,Franz Kafka,Fiction
651,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
652,The Da Vinci Code,Dan Brown,Thriller
653,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
654,The Shining,Stephen King,Horror
655,Brave New World,Aldous Huxley,Science Fiction
656,The Picture of Dorian Gray,Oscar Wilde,Fiction
657,Fahrenheit 451,Ray Bradbury,Science Fiction
658,1984,George Orwell,Dystopian Fiction
659,Wuthering Heights,Emily Bronte,Romance
660,The Sun Also Rises,Ernest Hemingway,Fiction
661,The Old Man and the Sea,Ernest Hemingway,Fiction
662,The Metamorphosis,Franz Kafka,Fiction
663,A Tale of Two Cities,Charles Dickens,Historical Fiction
664,Peter Pan,J.M. Barrie,Fantasy
665,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
666,Sense and Sensibility,Jane Austen,Romance
667,The Adventures of Huckleberry Finn,Mark Twain,Adventure
668,Les Misérables,Victor Hugo,Historical Fiction
669,Heart of Darkness,Joseph Conrad,Novella
670,Gulliver's Travels,Jonathan Swift,Satire
671,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
672,The Count of Monte Cristo,Alexandre Dumas,Adventure
673,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
674,The War of the Worlds,H.G. Wells,Science Fiction
675,Of Mice and Men,John Steinbeck,Fiction
676,Winnie-the-Pooh,A.A. Milne,Children's Literature
677,The Jungle Book,Rudyard Kipling,Children's Literature
678,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
679,The Adventures of Tom Sawyer,Mark Twain,Adventure
680,Beloved,Toni Morrison,Fiction
681,Great Expectations,Charles Dickens,Historical Fiction
682,The Picture of Dorian Gray,Oscar Wilde,Fiction
683,The Call of the Wild,Jack London,Adventure
684,The Wind in the Willows,Kenneth Grahame,Children's Literature
685,Wuthering Heights,Emily Bronte,Romance
686,Robinson Crusoe,Daniel Defoe,Adventure
687,The Giver,Lois Lowry,Young Adult
688,Crime and Punishment,Fyodor Dostoevsky,Fiction
689,The Scarlet Letter,Nathaniel Hawthorne,Fiction
690,Jane Eyre,Charlotte Bronte,Romance
691,The War of the Worlds,H.G. Wells,Science Fiction
692,The Three Musketeers,Alexandre Dumas,Adventure
693,The Legend of Sleepy Hollow,Washington Irving,Fiction
694,Siddhartha,Hermann Hesse,Philosophical Fiction
695,The Sound and the Fury,William Faulkner,Fiction
696,Oliver Twist,Charles Dickens,Novel
697,The Iliad,Homer,Epic Poetry
698,Gone with the Wind,Margaret Mitchell,Historical Fiction
699,For Whom the Bell Tolls,Ernest Hemingway,Fiction
700,Peter Pan,J.M. Barrie,Fantasy
701,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
702,The Canterbury Tales,Geoffrey Chaucer,Poetry
703,The Time Machine,H.G. Wells,Science Fiction
704,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
705,The Adventures of Tom Sawyer,Mark Twain,Adventure
706,Dracula,Bram Stoker,Horror
707,The Bell Jar,Sylvia Plath,Fiction
708,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
709,The Odyssey,Homer,Epic Poetry
710,To Kill a Mockingbird,Harper Lee,Fiction
711,The Lord of the Rings,J.R.R. Tolkien,Fantasy
712,The Trial,Franz Kafka,Fiction
713,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
714,The Da Vinci Code,Dan Brown,Thriller
715,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
716,The Shining,Stephen King,Horror
717,Brave New World,Aldous Huxley,Science Fiction
718,The Picture of Dorian Gray,Oscar Wilde,Fiction
719,Fahrenheit 451,Ray Bradbury,Science Fiction
720,1984,George Orwell,Dystopian Fiction
721,Wuthering Heights,Emily Bronte,Romance
722,The Sun Also Rises,Ernest Hemingway,Fiction
723,The Old Man and the Sea,Ernest Hemingway,Fiction
724,The Metamorphosis,Franz Kafka,Fiction
725,A Tale of Two Cities,Charles Dickens,Historical Fiction
726,Peter Pan,J.M. Barrie,Fantasy
727,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
728,Sense and Sensibility,Jane Austen,Romance
729,The Adventures of Huckleberry Finn,Mark Twain,Adventure
730,Les Misérables,Victor Hugo,Historical Fiction
731,Heart of Darkness,Joseph Conrad,Novella
732,Gulliver's Travels,Jonathan Swift,Satire
733,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
734,The Count of Monte Cristo,Alexandre Dumas,Adventure
735,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
736,The War of the Worlds,H.G. Wells,Science Fiction
737,Of Mice and Men,John Steinbeck,Fiction
738,Winnie-the-Pooh,A.A. Milne,Children's Literature
739,The Jungle Book,Rudyard Kipling,Children's Literature
740,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
741,The Adventures of Tom Sawyer,Mark Twain,Adventure
742,Beloved,Toni Morrison,Fiction
743,Great Expectations,Charles Dickens,Historical Fiction
744,The Picture of Dorian Gray,Oscar Wilde,Fiction
745,The Call of the Wild,Jack London,Adventure
746,The Wind in the Willows,Kenneth Grahame,Children's Literature
747,Wuthering Heights,Emily Bronte,Romance
748,Robinson Crusoe,Daniel Defoe,Adventure
749,The Giver,Lois Lowry,Young Adult
750,Crime and Punishment,Fyodor Dostoevsky,Fiction
751,The Scarlet Letter,Nathaniel Hawthorne,Fiction
752,Jane Eyre,Charlotte Bronte,Romance
753,The War of the Worlds,H.G. Wells,Science Fiction
754,The Three Musketeers,Alexandre Dumas,Adventure
755,The Legend of Sleepy Hollow,Washington Irving,Fiction
756,Siddhartha,Hermann Hesse,Philosophical Fiction
757,The Sound and the Fury,William Faulkner,Fiction
758,Oliver Twist,Charles Dickens,Novel
759,The Iliad,Homer,Epic Poetry
760,Gone with the Wind,Margaret Mitchell,Historical Fiction
761,For Whom the Bell Tolls,Ernest Hemingway,Fiction
762,Peter Pan,J.M. Barrie,Fantasy
763,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
764,The Canterbury Tales,Geoffrey Chaucer,Poetry
765,The Time Machine,H.G. Wells,Science Fiction
766,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
767,The Adventures of Tom Sawyer,Mark Twain,Adventure
768,Dracula,Bram Stoker,Horror
769,The Bell Jar,Sylvia Plath,Fiction
770,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
771,The Odyssey,Homer,Epic Poetry
772,To Kill a Mockingbird,Harper Lee,Fiction
773,The Lord of the Rings,J.R.R. Tolkien,Fantasy
774,The Trial,Franz Kafka,Fiction
775,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
776,The Da Vinci Code,Dan Brown,Thriller
777,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
778,The Shining,Stephen King,Horror
779,Brave New World,Aldous Huxley,Science Fiction
780,The Picture of Dorian Gray,Oscar Wilde,Fiction
781,Fahrenheit 451,Ray Bradbury,Science Fiction
782,1984,George Orwell,Dystopian Fiction
783,Wuthering Heights,Emily Bronte,Romance
784,The Sun Also Rises,Ernest Hemingway,Fiction
785,The Old Man and the Sea,Ernest Hemingway,Fiction
786,The Metamorphosis,Franz Kafka,Fiction
787,A Tale of Two Cities,Charles Dickens,Historical Fiction
788,Peter Pan,J.M. Barrie,Fantasy
789,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
790,Sense and Sensibility,Jane Austen,Romance
791,The Adventures of Huckleberry Finn,Mark Twain,Adventure
792,Les Misérables,Victor Hugo,Historical Fiction
793,Heart of Darkness,Joseph Conrad,Novella
794,Gulliver's Travels,Jonathan Swift,Satire
795,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
796,The Count of Monte Cristo,Alexandre Dumas,Adventure
797,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
798,The War of the Worlds,H.G. Wells,Science Fiction
799,Of Mice and Men,John Steinbeck,Fiction
800,Winnie-the-Pooh,A.A. Milne,Children's Literature
801,The Jungle Book,Rudyard Kipling,Children's Literature
802,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
803,The Adventures of Tom Sawyer,Mark Twain,Adventure
804,Beloved,Toni Morrison,Fiction
805,Great Expectations,Charles Dickens,Historical Fiction
806,The Picture of Dorian Gray,Oscar Wilde,Fiction
807,The Call of the Wild,Jack London,Adventure
808,The Wind in the Willows,Kenneth Grahame,Children's Literature
809,Wuthering Heights,Emily Bronte,Romance
810,Robinson Crusoe,Daniel Defoe,Adventure
811,The Giver,Lois Lowry,Young Adult
812,Crime and Punishment,Fyodor Dostoevsky,Fiction
813,The Scarlet Letter,Nathaniel Hawthorne,Fiction
814,Jane Eyre,Charlotte Bronte,Romance
815,The War of the Worlds,H.G. Wells,Science Fiction
816,The Three Musketeers,Alexandre Dumas,Adventure
817,The Legend of Sleepy Hollow,Washington Irving,Fiction
818,Siddhartha,Hermann Hesse,Philosophical Fiction
819,The Sound and the Fury,William Faulkner,Fiction
820,Oliver Twist,Charles Dickens,Novel
821,The Iliad,Homer,Epic Poetry
822,Gone with the Wind,Margaret Mitchell,Historical Fiction
823,For Whom the Bell Tolls,Ernest Hemingway,Fiction
824,Peter Pan,J.M. Barrie,Fantasy
825,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
826,The Canterbury Tales,Geoffrey Chaucer,Poetry
827,The Time Machine,H.G. Wells,Science Fiction
828,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
829,The Adventures of Tom Sawyer,Mark Twain,Adventure
830,Dracula,Bram Stoker,Horror
831,The Bell Jar,Sylvia Plath,Fiction
832,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
833,The Odyssey,Homer,Epic Poetry
834,To Kill a Mockingbird,Harper Lee,Fiction
835,The Lord of the Rings,J.R.R. Tolkien,Fantasy
836,The Trial,Franz Kafka,Fiction
837,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
838,The Da Vinci Code,Dan Brown,Thriller
839,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
840,The Shining,Stephen King,Horror
841,Brave New World,Aldous Huxley,Science Fiction
842,The Picture of Dorian Gray,Oscar Wilde,Fiction
843,Fahrenheit 451,Ray Bradbury,Science Fiction
844,1984,George Orwell,Dystopian Fiction
845,Wuthering Heights,Emily Bronte,Romance
